plate mjd id MJD SEEING50 RMSOFF50 AIRMASS ALT meanAlt designAlt meanHa haMin
6149 56194 b1-00147923 56194 1.5391 0.0182984 1.18496 59.204 57.556 59.547 27.8455 25.0000
6149 56194 b1-00147924 56194 1.5017 0.0171587 1.22768 56.268 54.542 59.547 31.9610 25.0000
6149 56194 b1-00147925 56194 1.5244 0.0154217 1.27951 53.195 51.403 59.547 36.0805 25.0000
6155 56245 b1-00150805 56245 1.3078 0.020707 1.07578 68.232 68.367 61.661 -1.6122 20.0000
6155 56245 b1-00150806 56245 1.3943 0.0190149 1.0763 68.517 68.297 61.661 2.4906 20.0000
6155 56245 b1-00150807 56245 1.445 0.0177792 1.08174 68.146 67.584 61.661 6.5935 20.0000
6157 56238 b1-00150243 56238 1.4386 0.0186164 1.0974 64.812 65.677 67.676 -11.6318 5.0000
6157 56238 b1-00150244 56238 1.4637 0.0161133 1.08568 66.488 67.084 67.676 -7.5290 5.0000
6157 56238 b1-00150245 56238 1.4255 0.0150901 1.07906 67.653 67.929 67.676 -3.4219 5.0000
6157 56238 b1-00150246 56238 1.3929 0.0144064 1.07742 68.213 68.146 67.676 0.6851 5.0000
6161 56238 b1-00150251 56238 1.4862 0.0210508 1.11234 64.459 64.027 58.494 5.5263 20.0000
6161 56238 b1-00150252 56238 1.3671 0.0178496 1.12214 63.728 63.016 58.494 9.6250 20.0000
6161 56238 b1-00150253 56238 1.2295 0.015883 1.13756 62.491 61.528 58.494 13.7278 20.0000
6161 56238 b1-00150254 56238 1.2179 0.0150477 1.15896 60.796 59.634 58.494 17.8306 20.0000
6161 56238 b1-00150255 56238 1.2208 0.013022 1.18689 58.745 57.406 58.494 21.9336 20.0000
6162 56191 b1-00147726 56191 1.6611 0.0188397 1.08929 66.576 66.638 62.856 -0.9245 15.0000
6162 56191 b1-00147727 56191 1.7215 0.0184021 1.09068 66.739 66.470 62.856 3.1784 15.0000
6162 56191 b1-00147728 56191 1.7081 0.0164313 1.09715 66.292 65.705 62.856 7.2812 15.0000
6163 56219 b1-00149261 56218 1.1752 0.0286719 1.09034 66.433 66.511 62.753 -1.1662 15.0000
6163 56219 b1-00149363 56219 1.3075 0.0209254 1.12478 63.826 62.754 62.753 14.9984 15.0000
6163 56219 b1-00149364 56219 1.321 0.0198712 1.14725 61.923 60.649 62.753 19.1013 15.0000
6163 56219 b1-00149365 56219 1.3604 0.0188699 1.17617 59.669 58.233 62.753 23.2042 15.0000
6165 56208 b1-00148445 56208 1.2904 0.0249768 1.09516 65.592 65.938 64.594 -4.7058 10.0000
6165 56208 b1-00148446 56208 1.4092 0.0239029 1.09187 66.296 66.328 64.594 -0.6029 10.0000
6165 56208 b1-00148447 56208 1.437 0.0221859 1.09366 66.408 66.114 64.594 3.5000 10.0000
6165 56208 b1-00148448 56208 1.5354 0.0223232 1.10058 65.922 65.313 64.594 7.6028 10.0000
6166 56181 b1-00147063 56181 1.3654 0.0197762 1.11686 63.01 63.554 64.182 -7.9423 5.0000
6166 56181 b1-00147064 56181 1.3674 0.0177618 1.10927 64.091 64.354 64.182 -3.8394 5.0000
6166 56181 b1-00147065 56181 1.3435 0.0170303 1.10698 64.644 64.601 64.182 0.2635 5.0000
6166 56181 b1-00147066 56181 1.3488 0.0163619 1.10995 64.63 64.281 64.182 4.3664 5.0000
6168 56187 b1-00147404 56187 1.6844 0.0178225 1.11612 64.254 63.630 64.350 8.2774 5.0000
6168 56187 b1-00147405 56187 1.838 0.0189994 1.12961 63.171 62.282 64.350 12.3803 5.0000
6168 56187 b1-00147406 56187 1.7409 0.018148 1.14891 61.618 60.502 64.350 16.4831 5.0000
6168 56187 b1-00147407 56187 1.7462 0.0177144 1.1745 59.664 58.365 64.350 20.5860 5.0000
6168 56187 b1-00147408 56187 1.8137 0.0166581 1.20706 57.388 55.939 64.350 24.6888 5.0000
6169 56193 b1-00147859 56193 1.8078 0.0157191 1.11425 64.374 63.826 58.614 7.1567 20.0000
6169 56193 b1-00147860 56193 1.7878 0.0137537 1.12623 63.434 62.612 58.614 11.2595 20.0000
6169 56193 b1-00147861 56193 1.862 0.0129482 1.14397 61.987 60.943 58.614 15.3708 20.0000
6169 56193 b1-00147862 56193 1.9153 0.012146 1.16801 60.131 58.887 58.614 19.4987 20.0000
6169 56193 b1-00147863 56193 2.0393 0.0112624 1.19873 57.931 56.533 58.614 23.6057 20.0000
6176 56264 b1-00151651 56264 1.434 0.0127403 1.07333 68.083 68.693 69.198 -7.0998 5.0000
6176 56264 b1-00151652 56264 1.4566 0.0129822 1.06741 69.251 69.524 69.198 -2.9970 5.0000
6176 56264 b1-00151653 56264 1.4539 0.0128078 1.06631 69.784 69.683 69.198 1.1101 5.0000
6176 56264 b1-00151654 56264 1.3968 0.0120489 1.07002 69.622 69.155 69.198 5.2130 5.0000
6185 56217 b1-00149154 56217 1.5404 0.0168833 1.06183 71.449 70.349 61.972 11.6403 25.0000
6185 56217 b1-00149155 56217 1.7675 0.0168303 1.07747 69.469 68.139 61.972 15.7390 25.0000
6185 56217 b1-00149156 56217 1.8551 0.0170957 1.09844 67.069 65.557 61.972 19.8544 25.0000
6185 56217 b1-00149157 56217 1.6186 0.0157674 1.12509 64.369 62.723 61.972 23.9572 25.0000
6185 56217 b1-00149158 56217 1.6474 0.014727 1.15819 61.435 59.701 61.972 28.0684 25.0000
6185 56217 b1-00149159 56217 1.5288 0.0140777 1.19845 58.338 56.553 61.972 32.1713 25.0000
6189 56237 b1-00150098 56236 1.592 0.0212718 1.08219 67.101 67.526 68.054 -5.2628 0.0000
6189 56237 b1-00150099 56236 1.5605 0.0201988 1.07832 67.937 68.028 68.054 -1.1558 0.0000
6189 56237 b1-00150100 56236 1.7009 0.0181876 1.07939 68.145 67.887 68.054 2.9471 0.0000
6189 56237 b1-00150175 56237 1.4441 0.0197811 1.07893 67.756 67.948 68.054 -2.3385 0.0000
6189 56237 b1-00150176 56237 1.4252 0.018632 1.07858 68.152 67.994 68.054 1.7643 0.0000
6198 56211 b1-00148617 56210 1.2567 0.0199143 1.20257 58.081 56.258 58.467 32.8364 30.0000
6198 56211 b1-00148618 56210 1.2469 0.0211265 1.25225 54.856 52.992 58.467 36.9393 30.0000
6198 56211 b1-00148619 56210 1.2818 0.0222821 1.31195 51.55 49.660 58.467 41.0463 30.0000
6198 56211 b1-00148701 56211 1.2762 0.0188709 1.15999 61.285 59.549 58.467 28.5869 30.0000
6290 56238 b1-00150235 56238 1.4851 0.016352 1.06006 68.922 70.621 62.636 -20.2131 -30.0000
6290 56238 b1-00150236 56238 1.4205 0.0160838 1.04126 72.169 73.817 62.636 -16.1103 -30.0000
6290 56238 b1-00150237 56238 1.3459 0.0154738 1.02707 75.293 76.817 62.636 -12.0074 -30.0000
6290 56238 b1-00150238 56238 1.2389 0.0141276 1.0172 78.166 79.450 62.636 -7.9045 -30.0000
6291 56209 b1-00148505 56209 1.2527 0.0125667 1.22242 53.116 54.889 57.817 -38.5081 -35.0000
6291 56209 b1-00148506 56209 1.2438 0.0110424 1.1752 56.537 58.311 57.817 -34.4052 -35.0000
6291 56209 b1-00148507 56209 1.2177 0.0107935 1.13569 59.954 61.705 57.817 -30.3024 -35.0000
6296 56219 b1-00149339 56219 1.4127 0.0191082 1.15855 57.884 59.669 59.226 -34.4731 -35.0000
6296 56219 b1-00149340 56219 1.3979 0.0187478 1.12118 61.305 63.113 59.226 -30.3702 -35.0000
6296 56219 b1-00149341 56219 1.3817 0.0191005 1.09006 64.755 66.543 59.226 -26.2674 -35.0000
6296 56219 b1-00149342 56219 1.3287 0.0191441 1.06452 68.172 69.947 59.226 -22.1645 -35.0000
6297 56218 b1-00149127 56217 1.6903 0.0159733 1.14814 58.78 60.573 59.308 -33.4946 -35.0000
6297 56218 b1-00149128 56217 1.6176 0.0133937 1.11236 62.226 64.027 59.308 -29.3792 -35.0000
6297 56218 b1-00149129 56217 1.7306 0.0145566 1.08278 65.682 67.452 59.308 -25.2804 -35.0000
6297 56218 b1-00149130 56217 1.8051 0.0156238 1.05857 69.07 70.853 59.308 -21.1776 -35.0000
6297 56218 b1-00149131 56217 1.8265 0.0160354 1.03926 72.465 74.202 59.308 -17.0747 -35.0000
6297 56218 b1-00149240 56218 1.3786 0.0144575 1.14032 59.478 61.274 59.308 -32.6593 -35.0000
6298 56208 b1-00148423 56208 1.2966 0.0167805 1.24125 51.899 53.672 54.367 -40.8279 -40.0000
6298 56208 b1-00148424 56208 1.3018 0.0158802 1.19078 55.338 57.117 54.367 -36.7250 -40.0000
6298 56208 b1-00148425 56208 1.2937 0.015612 1.14836 58.766 60.552 54.367 -32.6221 -40.0000
6307 56205 b1-00148300 56205 1.4283 0.0177198 1.30847 48.072 49.838 57.721 -44.4224 -35.0000
6307 56205 b1-00148301 56205 1.4488 0.0156508 1.24751 51.497 53.280 57.721 -40.3195 -35.0000
6307 56205 b1-00148302 56205 1.5523 0.0161019 1.1963 54.952 56.708 57.721 -36.2166 -35.0000
6307 56205 b1-00148303 56205 1.4659 0.0145023 1.15337 58.361 60.112 57.721 -32.1137 -35.0000
6307 56205 b1-00148304 56205 1.6824 0.0151961 1.1176 61.737 63.478 57.721 -28.0109 -35.0000
6308 56215 b1-00148981 56215 1.6699 0.0206027 1.24174 51.876 53.639 57.614 -39.7667 -35.0000
6308 56215 b1-00148982 56215 1.7553 0.0185764 1.1915 55.305 57.062 57.614 -35.6639 -35.0000
6308 56215 b1-00148983 56215 1.7424 0.0174791 1.14938 58.719 60.461 57.614 -31.5568 -35.0000
